时间 - Ic,Voltage [V] - Ic
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61711
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61711
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61711
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61711
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61711
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.6155
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61518
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.6155
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.6155
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.6155
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61711
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.6155
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.6155
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.6155
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.6155
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.6155
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.6155
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.6155
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.6155
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61711
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61711
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61711
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61711
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61711
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61711
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61711
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61711
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61743
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61711
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61711
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61743
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61711
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61711
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61711
27:44.7,1.61647
27:44.7,1.61711
27:44.7,1.61582
27:44.7,1.61711
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61711
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61711
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61711
27:44.7,1.61647
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.6155
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61711
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.6155
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61518
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61711
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.6155
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.6155
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.6155
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.6155
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.6155
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.6155
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.6155
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61711
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61711
27:44.7,1.61582
27:44.7,1.61615
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61679
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61647
27:44.7,1.61582
27:44.7,1.61679
27:44.7,1.61647
27:44.7,1.61647
27:44.7,1.61615
27:44.7,1.61679
