时间 - Ib,Voltage [V] - Ib
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63318
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63318
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.63285
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63414
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63285
27:45.2,1.63446
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63446
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63446
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63414
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63446
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63382
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63446
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63446
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63446
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63446
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63446
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63414
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63285
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.63414
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63318
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63253
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63318
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63285
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63285
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63285
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.6335
27:45.2,1.63382
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63446
27:45.2,1.63318
27:45.2,1.6335
27:45.2,1.6335
27:45.2,1.63414
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63285
27:45.2,1.6335
27:45.2,1.63318
27:45.2,1.63382
27:45.2,1.63318
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63414
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63285
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63318
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63318
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.63285
27:45.3,1.6335
27:45.3,1.63285
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63318
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63318
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.63253
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63414
27:45.3,1.63285
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63414
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63414
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63414
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63414
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63414
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63446
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63285
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63414
27:45.3,1.6335
27:45.3,1.63414
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63414
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63414
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63285
27:45.3,1.63382
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63414
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63414
27:45.3,1.63382
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63414
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63414
27:45.3,1.63318
27:45.3,1.63414
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63414
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63414
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63285
27:45.3,1.63414
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63382
27:45.3,1.63414
27:45.3,1.63318
27:45.3,1.63414
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63382
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63414
27:45.3,1.63382
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63285
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63414
27:45.3,1.63382
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63285
27:45.3,1.63414
27:45.3,1.63285
27:45.3,1.63414
27:45.3,1.63285
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63414
27:45.3,1.63382
27:45.3,1.63382
27:45.3,1.63285
27:45.3,1.63446
27:45.3,1.6335
27:45.3,1.6351
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63382
27:45.3,1.63285
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63285
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63414
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63414
27:45.3,1.63318
27:45.3,1.63478
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63414
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63414
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63382
27:45.3,1.63414
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63414
27:45.3,1.63414
27:45.3,1.6335
27:45.3,1.63318
27:45.3,1.63318
27:45.3,1.63414
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.6335
27:45.3,1.63414
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.6335
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.63382
27:45.3,1.63318
27:45.3,1.6335
27:45.3,1.6335
